seq,from_city,to_city,from_wkt,to_wkt,Alteryx_Distance_KM,Formula_Distance_KM,Difference_Alteryx_KM_2,h3_approx_distance,Difference_Alteryx_KM
50,Kolkata,Chennai,POINT(88.3639 22.5726),POINT(80.2707 13.0827),1357.61,1358.36,-0.75,653.79,703.82
51,Kolkata,Ahmedabad,POINT(88.3639 22.5726),POINT(72.5714 23.0225),1617.96,1618.86,-0.9,800.36,817.6
52,Kolkata,Pune,POINT(88.3639 22.5726),POINT(73.8567 18.5204),1574.5,1575.38,-0.88,828.11,746.39
53,Kolkata,Jaipur,POINT(88.3639 22.5726),POINT(75.7873 26.9124),1357.02,1357.77,-0.75,740.95,616.07
54,Kolkata,Lucknow,POINT(88.3639 22.5726),POINT(80.9462 26.8467),886.49,886.98,-0.49,490.79,395.7
55,Ahmedabad,Delhi,POINT(72.5714 23.0225),POINT(77.1025 28.7041),776.98,777.41,-0.43,406.13,370.85
56,Ahmedabad,Mumbai,POINT(72.5714 23.0225),POINT(72.8777 19.076),439.74,439.98,-0.24,256.24,183.5
57,Ahmedabad,Bangalore,POINT(72.5714 23.0225),POINT(77.5946 12.9716),1236.36,1237.04,-0.68,631.58,604.78
58,Ahmedabad,Hyderabad,POINT(72.5714 23.0225),POINT(78.4867 17.385),879.01,879.5,-0.49,482.9,396.12
59,Ahmedabad,Chennai,POINT(72.5714 23.0225),POINT(80.2707 13.0827),1371.05,1371.81,-0.76,705.29,665.76
60,Ahmedabad,Kolkata,POINT(72.5714 23.0225),POINT(88.3639 22.5726),1617.96,1618.86,-0.9,800.36,817.6
61,Ahmedabad,Pune,POINT(72.5714 23.0225),POINT(73.8567 18.5204),517.84,518.13,-0.29,293.64,224.2
62,Ahmedabad,Jaipur,POINT(72.5714 23.0225),POINT(75.7873 26.9124),540.17,540.47,-0.3,287.27,252.9
63,Ahmedabad,Lucknow,POINT(72.5714 23.0225),POINT(80.9462 26.8467),944.58,945.11,-0.53,510.68,433.9
64,Pune,Delhi,POINT(73.8567 18.5204),POINT(77.1025 28.7041),1178.83,1179.48,-0.65,625.79,553.04
65,Pune,Mumbai,POINT(73.8567 18.5204),POINT(72.8777 19.076),120.09,120.15,-0.06,71.8,48.29
66,Pune,Bangalore,POINT(73.8567 18.5204),POINT(77.5946 12.9716),734.82,735.23,-0.41,370.44,364.38
67,Pune,Hyderabad,POINT(73.8567 18.5204),POINT(78.4867 17.385),505.47,505.75,-0.28,282.08,223.39
68,Pune,Chennai,POINT(73.8567 18.5204),POINT(80.2707 13.0827),913.86,914.36,-0.5,504.48,409.38
69,Pune,Kolkata,POINT(73.8567 18.5204),POINT(88.3639 22.5726),1574.5,1575.38,-0.88,828.11,746.39
70,Pune,Ahmedabad,POINT(73.8567 18.5204),POINT(72.5714 23.0225),517.84,518.13,-0.29,293.64,224.2
71,Pune,Jaipur,POINT(73.8567 18.5204),POINT(75.7873 26.9124),953.34,953.87,-0.53,521.51,431.84
72,Pune,Lucknow,POINT(73.8567 18.5204),POINT(80.9462 26.8467),1176.07,1176.73,-0.66,603.5,572.57
73,Jaipur,Delhi,POINT(75.7873 26.9124),POINT(77.1025 28.7041),237.4,237.53,-0.13,118.86,118.54
