seq,from_city,to_city,from_lat,from_lon,to_lat,to_lon,Alteryx_Distance_KM,Formula_Distance_KM,Difference_Alteryx_KM_2,h3_approx_distance,Difference_Alteryx_KM
57,Ahmedabad,Bangalore,23.0225,72.5714,12.9716,77.5946,1236.36,1237.04,-0.68,631.58,604.78
58,Ahmedabad,Hyderabad,23.0225,72.5714,17.385,78.4867,879.01,879.5,-0.49,482.9,396.12
59,Ahmedabad,Chennai,23.0225,72.5714,13.0827,80.2707,1371.05,1371.81,-0.76,705.29,665.76
60,Ahmedabad,Kolkata,23.0225,72.5714,22.5726,88.3639,1617.96,1618.86,-0.9,800.36,817.6
61,Ahmedabad,Pune,23.0225,72.5714,18.5204,73.8567,517.84,518.13,-0.29,293.64,224.2
62,Ahmedabad,Jaipur,23.0225,72.5714,26.9124,75.7873,540.17,540.47,-0.3,287.27,252.9
63,Ahmedabad,Lucknow,23.0225,72.5714,26.8467,80.9462,944.58,945.11,-0.53,510.68,433.9
64,Pune,Delhi,18.5204,73.8567,28.7041,77.1025,1178.83,1179.48,-0.65,625.79,553.04
65,Pune,Mumbai,18.5204,73.8567,19.076,72.8777,120.09,120.15,-0.06,71.8,48.29
66,Pune,Bangalore,18.5204,73.8567,12.9716,77.5946,734.82,735.23,-0.41,370.44,364.38
67,Pune,Hyderabad,18.5204,73.8567,17.385,78.4867,505.47,505.75,-0.28,282.08,223.39
68,Pune,Chennai,18.5204,73.8567,13.0827,80.2707,913.86,914.36,-0.5,504.48,409.38
69,Pune,Kolkata,18.5204,73.8567,22.5726,88.3639,1574.5,1575.38,-0.88,828.11,746.39
70,Pune,Ahmedabad,18.5204,73.8567,23.0225,72.5714,517.84,518.13,-0.29,293.64,224.2
71,Pune,Jaipur,18.5204,73.8567,26.9124,75.7873,953.34,953.87,-0.53,521.51,431.84
72,Pune,Lucknow,18.5204,73.8567,26.8467,80.9462,1176.07,1176.73,-0.66,603.5,572.57
73,Jaipur,Delhi,26.9124,75.7873,28.7041,77.1025,237.4,237.53,-0.13,118.86,118.54
74,Jaipur,Mumbai,26.9124,75.7873,19.076,72.8777,920.23,920.74,-0.51,484.1,436.13
75,Jaipur,Bangalore,26.9124,75.7873,12.9716,77.5946,1560.67,1561.54,-0.87,859.45,701.22
76,Jaipur,Hyderabad,26.9124,75.7873,17.385,78.4867,1094.54,1095.15,-0.61,598.91,495.64
77,Jaipur,Chennai,26.9124,75.7873,13.0827,80.2707,1606.21,1607.1,-0.89,851.66,754.55
78,Jaipur,Kolkata,26.9124,75.7873,22.5726,88.3639,1357.02,1357.77,-0.75,740.95,616.07
79,Jaipur,Ahmedabad,26.9124,75.7873,23.0225,72.5714,540.17,540.47,-0.3,287.27,252.9
80,Jaipur,Pune,26.9124,75.7873,18.5204,73.8567,953.34,953.87,-0.53,521.51,431.84
81,Jaipur,Lucknow,26.9124,75.7873,26.8467,80.9462,511.4,511.68,-0.28,250.16,261.24
82,Lucknow,Delhi,26.8467,80.9462,28.7041,77.1025,430.6,430.84,-0.24,235.58,195.02
83,Lucknow,Mumbai,26.8467,80.9462,19.076,72.8777,1194.01,1194.67,-0.66,637.9,556.11
84,Lucknow,Bangalore,26.8467,80.9462,12.9716,77.5946,1580.99,1581.87,-0.88,832.69,748.3
85,Lucknow,Hyderabad,26.8467,80.9462,17.385,78.4867,1081.47,1082.07,-0.6,572.15,509.32
86,Lucknow,Chennai,26.8467,80.9462,13.0827,80.2707,1531.25,1532.1,-0.85,824.9,706.35
87,Lucknow,Kolkata,26.8467,80.9462,22.5726,88.3639,886.49,886.98,-0.49,490.79,395.7
88,Lucknow,Ahmedabad,26.8467,80.9462,23.0225,72.5714,944.58,945.11,-0.53,510.68,433.9
89,Lucknow,Pune,26.8467,80.9462,18.5204,73.8567,1176.07,1176.73,-0.66,603.5,572.57
90,Lucknow,Jaipur,26.8467,80.9462,26.9124,75.7873,511.4,511.68,-0.28,250.16,261.24
